name,company_name,phone,email,address,landmark,website,industry_type,service_type,call_type,schedule_date,status,call_type,schedule_date,call_type
MAA,MAA MANASHA BASTRALAYA,080178 77273,NA,"Sree Nagar, 2nd Number St, near Bank Of India",NA,NA,Garments Shop,N/A,Warm Call,19-11-2024,Pending,Warm Call,########,call_type
MAJUMDER,MAJUMDER TELECOM,082406 41241,NA,"51/C, Surjya Sen Sarani, near Bisharpara Yubosomaj",NA,NA,Mobile Store,N/A,Warm Call,02-12-2024,Pending,Warm Call,########,call_type
Little,Little Angels' Convent,098309 35359,NA,"Shop No. 3, Krishna Nagar Road",NA,NA,School,N/A,Warm Call,NA,Pending,Warm Call,########,call_type
London,London Kids Preschool Dumdum Kolkata,"Motijheel Avenue, P32-A",NA,098753 13259,NA,NA,School,N/A,Warm Call,06-01-2025,Pending,Warm Call,########,call_type
DumDum,DumDum Road Govt. Sponsored High School for Girls',"16, Dum Dum Rd",NA,098316 21048,NA,NA,School,N/A,Warm Call,05-12-2024,Pending,Warm Call,########,call_type
Chitrak,"Chitrak fitness parlour|""I loose 6 kg in a month..most cheapest gym in belgharia..chitrakda is best""",070443 30106,NA,"North Dumdum, West Bengal",NA,NA,Gym,N/A,Warm Call,04-01-2025,Pending,Warm Call,########,call_type
Muscle,"Muscle World ""The Fitness Club""|""Perfect reasonable fitness centre with more den everything equipments...""",098368 82729,NA,"Floor, 11, Santosh Park, Krishi Gopal More, above Kidzee, opp. Allahabad",NA,NA,Gym,N/A,Warm Call,12-12-2024,Pending,Warm Call,########,call_type
SIMRAN,SIMRAN BIKE POINT ,9732590006,NA,,NA,NA,scond hand bike showroom,N/A,Warm Call,18-11-2024,Pending,Warm Call,########,call_type
bijid,bijid motor cycle showroom,9732606383,NA,,NA,NA,second hand bike show room ,N/A,Warm Call,30-11-2024,Pending,Warm Call,########,call_type
mahir,mahir auto plaza,9143180678,NA,,NA,NA,second hand bike show room ,N/A,Warm Call,16-11-2024,Pending,Warm Call,########,call_type
LAKSHMI,LAKSHMI AUTO ,9732765070,NA,,NA,NA,SECOND HAND BIKE AEALER ,N/A,Warm Call,NA,Pending,Warm Call,########,call_type
Helping,Helping Hands,090383 34810,NA,"Kolkata, West Bengal",NA,NA,NGO,N/A,Warm Call,02-01-2025,Pending,Warm Call,########,call_type
Sajdaa,Sajdaa NGO,098315 29882,NA,Temporarily closed · ,NA,NA,NGO,N/A,Warm Call,NA,Pending,Warm Call,########,call_type
Kunal,"Kunal Bike Point And Washing Centre|""Good service
My father's bike got repaired so nicely""",097489 96952,NA,"Kolkata, West Bengal",NA,NA,Second hand bike showroom,N/A,Warm Call,NA,Pending,Warm Call,########,call_type
H,"H M ENTERPRISE|""They give awesome service and a good range of EVs which they have.""",098318 81545,NA,"Kolkata, West Bengal",NA,NA,EV Dealers in west bengal,N/A,Warm Call,02-01-2025,Pending,Warm Call,########,call_type
Das,Das Motors,098047 11110,NA,"Kolkata, West Bengal",NA,NA,Second hand bike showroom,N/A,Warm Call,NA,Pending,Warm Call,########,call_type
Kunal,Kunal Bike Point And Washing Centre,097489 96952,NA,"Kolkata, West Bengal",NA,NA,Second hand bike showroom,N/A,Warm Call,20-11-2024,Pending,Warm Call,########,call_type
Tarama,Tarama bike point second hand bike buy and sell,070011 58982,NA,"Math Para, Ranaghat, West Bengal",NA,NA,Second hand bike showroom,N/A,Warm Call,20-01-2025,Pending,Warm Call,########,call_type
Mizam,Mizam car ,7980231566,NA,"Kolkata, West Bengal",NA,NA,Auto mobile ,N/A,Warm Call,11-01-2025,Pending,Warm Call,########,call_type
Jamuna,Jamuna Cafe Cum Restaurant,082408 54506,NA,Mathrangi More,NA,NA,Restaurant cum bar,N/A,Warm Call,22-01-2025,Pending,Warm Call,########,call_type
Charmz,Charmz Restaurant cum Bar, 096817 22297,NA,"Nilganj, Kolkata, West Bengal",NA,NA,Restaurant cum bar,N/A,Warm Call,09-01-2025,Pending,Warm Call,########,call_type
Upodayam,Upodayam Foundation,090089 66388,NA,"Apartment, 4th floor, 4C, Paras, 1/1, Chakraberia Road N",NA,NA,Environmental organization,N/A,Warm Call,23-11-2024,Pending,Warm Call,########,call_type
DRA???,DRA???,098317 92150,NA,"50B, Kailash Bose St",NA,NA,Environmental organization,N/A,Warm Call,30-12-2024,Pending,Warm Call,########,call_type
Lavish,Lavish Looks,090073 65170,NA,"3+ years in business · Howrah, West Bengal",NA,NA,Salons & Spa,N/A,Warm Call,02-12-2024,Pending,Warm Call,########,call_type
K,K C DAS SALON & SPA | Best Hair & Skin Care Beauty Parlour in Chinsurah,089102 90603,NA,"7+ years in business · Chinsurah, West Bengal",NA,NA,Salons & Spa,N/A,Warm Call,26-11-2024,Pending,Warm Call,########,call_type
MUKESH,MUKESH SPA,090622 16066,NA,"Kolkata, West Bengal",NA,NA,Salons & Spa,N/A,Warm Call,02-12-2024,Pending,Warm Call,########,call_type
First,"First Smile Dental Care | Top Dental Clinic in New Town | Best Dental Surgeon | Smile Design, Root Canal, Dental Implant",093323 91355,NA,"BE 63, Street No. 135",NA,NA,Dental Practices in kolkata,N/A,Warm Call,26-11-2024,Pending,Warm Call,########,call_type
Dr,Dr. Shome's Orthodontic and Facio Dental Clinic/ Best Dental Clinic In Kankurgachi/Kolkata.,062920 40606,NA,"P203, Ramakrishna Samadhi Road, Kankurgachi, opposite Swami Swarupananda's Ashram",NA,NA,Dental Practices in kolkata,N/A,Warm Call,21-12-2024,Pending,Warm Call,########,call_type
RS,RS TAX SOLUTIONS,087776 33148,NA,"H/143, P.S South Port, 1st Floor Room no.2, 49/5, Karl Marx Sarani Rd, opposite Jnan Bhaskar Vidalaya",NA,NA,Professional Service ( Lawyer Accountant ) Kolkata,N/A,Warm Call,02-04-2025,Pending,Warm Call,########,call_type
Ali,Ali & Associates,079802 81970,NA,"Howrah, West Bengal",NA,NA,Professional Service ( Lawyer Accountant ) Kolkata,N/A,Warm Call,NA,Pending,Warm Call,########,call_type
Taxmation,Taxmation Services LLP,086172 38332,NA,"Ground Floor, 22/A, Anupama Apartment, Nabin Chandra Das Rd",NA,NA,Professional Service ( Lawyer Accountant ) Kolkata,N/A,Warm Call,11-12-2024,Pending,Warm Call,########,call_type
davaindia,davaindia GENERIC PHARMACY,096749 90708,NA,"Railway Jn Platform No 5, Shop No 6, Maitri Apartment Vidyasagar Road, Barasat, near Barasat · 096749 90708",NA,NA,Phermacy in kolkata,N/A,Warm Call,02-01-2025,Pending,Warm Call,########,call_type
SR,"SR SOLAR|""I recommend you all to work from this company""",070440 93444,NA,"Kolkata, West Bengal",NA,NA,Solar Energy Provider in Kolkata,N/A,Warm Call,NA,Pending,Warm Call,########,call_type
Skillectron,"Skillectron Systems Pvt Ltd|""Good company for solar installation.""",089024 99626,NA,"Baranagar, West Bengal",NA,NA,Solar Energy Provider in Kolkata,N/A,Warm Call,03-01-2025,Pending,Warm Call,########,call_type
Tales,Tales of Joy | pet & bird shop in Kolkata | Picnic Garden,075959 36132,NA,"Upstairs of Monginis Cake Shop, 185, Picnic Garden Rd, near 39 Bus Stand",NA,NA,Pet Supply Store in Kolkata,N/A,Warm Call,10-01-2025,Pending,Warm Call,########,call_type
Park,Park Auto Emporium (Autoform Brand Store),082769 64313,NA,"N/49, Jessore Road, Banamalipur, Barasat, North 24 Parganas, Kolkata 700124, opposite Medplus medicine shop",NA,NA,Auto parts retailers in kolkata,N/A,Warm Call,16-12-2024,Pending,Warm Call,########,call_type
Friends,Friends Auto Enterprises,098312 70139,NA,"187 B, Acharya Prafulla Chandra Rd",NA,NA,Auto parts retailers in kolkata,N/A,Warm Call,05-12-2024,Pending,Warm Call,########,call_type
????,???? ??????????? ???????,094333 79192,NA,"Khalpar Rd, near P.N. Das college",NA,NA,Sports Academies near me,N/A,Warm Call,04-01-2025,Pending,Warm Call,########,call_type
Ground,Ground Work Landscaping Company,033 4013 7000,NA,"Air Conditioned Market, 5th Floor, 46, Gariahat Rd",NA,NA,Landscaping Services in Kolkata,N/A,Warm Call,17-12-2024,Pending,Warm Call,########,call_type
PRONAY,PRONAY SARKAR,086979 04802,NA,"5+ years in business · Howrah, West Bengal",NA,NA,Plumbing and Electrical Services in Kolkata,N/A,Warm Call,NA,Pending,Warm Call,########,call_type
The,The Oriental Seminary,098361 53115,NA,"363, Rabindra Sarani",NA,NA,Private School in kolkata,N/A,Warm Call,07-01-2025,Pending,Warm Call,########,call_type
Barisha,Barisha High School,033 2447 3190,NA,"133, Diamond Harbour Rd",NA,NA,Private School in kolkata,N/A,Warm Call,19-12-2024,Pending,Warm Call,########,call_type
Dr,Dr. Rajnee Garg Kesri - Tarot Card Reader & Numerologist,083358 37666,NA,"Kolkata, West Bengal",NA,NA,Astrology & Spirituality,N/A,Warm Call,03-01-2025,Pending,Warm Call,########,call_type
A,A.K. Medical Hall,098305 38474,NA,"Jc7V+Rw7 Dhankol Gote 1, Hatiara Rd · 098305 38474",NA,NA,Pharmecy in Rajarhat,N/A,Warm Call,03-01-2025,Pending,Warm Call,########,call_type
Raj,Raj Pharmacy,098301 78097,NA,"D/A,4/12 · 098301 78097",NA,NA,Pharmecy in Rajarhat,N/A,Warm Call,NA,Pending,Warm Call,########,call_type
NEWTOWN,NEWTOWN PHARMACY,078725 78138,NA,"18 TALA, GREENFIELD HEIGHTS, Shop No. 2FS DJ/5, 1ST FLOOR, GALAXY · 078725 78138",NA,NA,Pharmacy in New town,N/A,Warm Call,19-12-2024,Pending,Warm Call,########,call_type
Majumdar,Majumdar Medical Stores & Polyclinic (Sodpur_Natagarh),090386 81845,NA,"Sodpur Natagarh. A.M. Road Kadamtalla Bazar. Nirmola Apartment, beside SBI ATM · 090386 81845",NA,NA,Pharmacy in New town,N/A,Warm Call,NA,Pending,Warm Call,########,call_type
Right,Right Dose Pharmacy,079807 72217,NA,"Ground Floor, 362, Akandakeshari, Shapoorji Road · 079807 72217",NA,NA,Pharmacy in New town,N/A,Warm Call,23-12-2024,Pending,Warm Call,########,call_type
Health,Health point pharmacy,098361 10786,NA,"Kolkata, West Bengal · 098361 10786",NA,NA,Pharmacy in New town,N/A,Warm Call,NA,Pending,Warm Call,########,call_type
Barasat,Barasat Homeo Hall,098300 18462,NA,Swami Vivekananda Rd · 098300 18462,NA,NA,Pharmacy in Barasat,N/A,Warm Call,20-12-2024,Pending,Warm Call,########,call_type
Rajesh,Rajesh Medical & Company,076050 07257,NA,"Shop No 7, Barasat Knc Road, Railway, Barasat Station Rd, near Barasat · 076050 07257",NA,NA,Pharmacy in Barasat,N/A,Warm Call,NA,Pending,Warm Call,########,call_type
MAA,MAA PHARMACY,085369 65459,NA,"PFFM+HQ7, Krishna Nagar Road Amdanga · 085369 65459",NA,NA,Pharmacy in Barasat,N/A,Warm Call,19-12-2024,Pending,Warm Call,########,call_type
P,P N J ENTERPRISE,091539 49692,NA,"Basirhat Bichalihat More, 01, Itinda Rd · 091539 49692",NA,NA,Pharmacy in Bashirhat,N/A,Warm Call,03-01-2025,Pending,Warm Call,########,call_type
Roy,Roy Homoeo Hall,098314 14617,NA,"Kolkata, West Bengal · 098314 14617",NA,NA,Pharmacy in Baranagar,N/A,Warm Call,18-12-2024,Pending,Warm Call,########,call_type
BATOLAKSHMI,BATOLAKSHMI PHARMACY,098306 31218,NA,"43/1, Maharaja Nand Kumar Rd · 098306 31218",NA,NA,Pharmacy in Baranagar,N/A,Warm Call,NA,Pending,Warm Call,########,call_type
LIFE,LIFE CARE,098311 77819,NA,Shop No 1 · 098311 77819,NA,NA,Pharmacy in Baranagar,N/A,Warm Call,18-12-2024,Pending,Warm Call,########,call_type
Gita,Gita Medicine Corner,094335 12417,NA,"B-17/176, near I.T.I More · 094335 12417",NA,NA,Pharmacy in Kalyani,N/A,Warm Call,04-01-2025,Pending,Warm Call,########,call_type
Happy,Happy Life Pharmacy,089108 69757,NA,bazar · 089108 69757,NA,NA,Pharmacy in Kalyani,N/A,Warm Call,NA,Pending,Warm Call,########,call_type
Dev,Dev medical,070035 42964,NA,"B-18, 199 · 070035 42964",NA,NA,Pharmacy in Kalyani,N/A,Warm Call,02-01-2025,Pending,Warm Call,########,call_type
Life,Life Guard Pharmacy,098362 82780,NA,"B-2/78, Congress Road · 098362 82780",NA,NA,Pharmacy in Kalyani,N/A,Warm Call,NA,Pending,Warm Call,########,call_type
K,K Medical,062914 93245,NA,"Kalyani Station Rd, near Kalyani Railway Station · 062914 93245",NA,NA,Pharmacy in Kalyani,N/A,Warm Call,13-12-2024,Pending,Warm Call,########,call_type
PASHUPATI,PASHUPATI DRUG CENTER,074495 31425,NA,"A9/155, Kalyani Station Rd, near Marti Mission Mondir · 074495 31425",NA,NA,Pharmacy in Kalyani,N/A,Warm Call,27-01-2025,Pending,Warm Call,########,call_type
Elite,Elite Medicare,084209 96656,NA,"S), Ground Floor, Room, No. 1, A-9X/4 · 084209 96656",NA,NA,Pharmacy in Kalyani,N/A,Warm Call,20-12-2024,Pending,Warm Call,########,call_type
Evangel,Evangel Public School,089276 34591,NA,RQJM+VR2,NA,NA,Private School in Boangaon,N/A,Warm Call,27-01-2025,Pending,Warm Call,########,call_type
Nivedita,Nivedita Shishu Tirtha,099321 25519,NA,"Gobardanga Khantura, Station Rd E",NA,NA,Private School in Boangaon,N/A,Warm Call,27-12-2024,Pending,Warm Call,########,call_type
Old,Old School Educational Institute,084205 91740,NA,"kolkata, West Bengal",NA,NA,Private School in Newtown,N/A,Warm Call,21-12-2024,Pending,Warm Call,########,call_type
Subhajit,Subhajit Educare,074393 92746,NA,"BE 29/7, Baguiati Deshbandhunagar Road,(Nearest Landmark Pratibeshi Club",NA,NA,Private School in Rajarhat,N/A,Warm Call,02-01-2025,Pending,Warm Call,########,call_type
S,"S.P.S. JANABADI SIKSHAN SANSTHAN, GSF Hindi Primary School",090072 14201,NA,"4/1 Kathal Bagan, 5, Nil Ratan Adhikari Rd",NA,NA,Private School in Rajarhat,N/A,Warm Call,23-12-2024,Pending,Warm Call,########,call_type
??LEARNING,"??LEARNING PATHWAY ?? Find Best Home Tutor ??Online Tutor ????? Private Tuition Provider for ??Class K-12. CBSE, ICSE.",090074 00223,NA,"GD FLOOR, Block A2, FORTUNE SQUARE BLOCK 1",NA,NA,Private School in Rajarhat,N/A,Warm Call,21-12-2024,Pending,Warm Call,########,call_type
ASSURE,ASSURE SPECIAL SCHOOL AND THEREPY CENTER,079800 14320,NA,"72/A Port Blair Line, Santi bazer Spencer Super market, Barrackpore Chiriamore",NA,NA,Private School in Barrackpore,N/A,Warm Call,02-01-2025,Pending,Warm Call,########,call_type
Barrackpore,Barrackpore A. B. Model High School (H.S),033 2592 0141,NA,Rasamoy Biswas Rd,NA,NA,Private School in Barrackpore,N/A,Warm Call,26-12-2024,Pending,Warm Call,########,call_type
Barrackpore,Barrackpore Senate public school,033 2593 1971,NA,"Barrackpore, West Bengal",NA,NA,Private Schoolin kalyani Highway,N/A,Warm Call,21-12-2024,Pending,Warm Call,########,call_type
Medicine,Medicine India Chemist,094331 24599,NA,"MFR8+V2X, Badu Rd · 094331 24599",NA,NA,Pharmacy in Madhayamgram,N/A,Warm Call,20-12-2024,Pending,Warm Call,########,call_type
The,The Health Pharmacy,098745 38694,NA,"Rubar Factory, Kazi Nazrul Islam Sarani · 098745 38694",NA,NA,Pharmacy in Madhayamgram,N/A,Warm Call,02-01-2025,Pending,Warm Call,########,call_type
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
